Item_Id,vtex_sku_id,status
1122724,N/A,Unmapped
1122726,N/A,Unmapped
1122728,N/A,Unmapped
1122729,N/A,Unmapped
1122730,N/A,Unmapped
1122731,N/A,Unmapped
1122732,N/A,Unmapped
1122733,N/A,Unmapped
1122738,N/A,Unmapped
1122740,N/A,Unmapped
1122744,N/A,Unmapped
1122745,N/A,Unmapped
1122746,N/A,Unmapped
1122747,N/A,Unmapped
1122748,N/A,Unmapped
1122781,N/A,Unmapped
1122782,N/A,Unmapped
1122784,N/A,Unmapped
1122785,N/A,Unmapped
1122786,N/A,Unmapped
1122789,N/A,Unmapped
1122791,N/A,Unmapped
1122792,N/A,Unmapped
1122793,N/A,Unmapped
1122795,N/A,Unmapped
1122805,N/A,Unmapped
1122806,N/A,Unmapped
1122808,N/A,Unmapped
1122809,N/A,Unmapped
1122812,N/A,Unmapped
1122815,N/A,Unmapped
1122816,N/A,Unmapped
1122817,N/A,Unmapped
1122819,N/A,Unmapped
1122820,N/A,Unmapped
1122834,12797,Mapped
1123035,N/A,Unmapped
1123037,N/A,Unmapped
1123038,N/A,Unmapped
1123040,N/A,Unmapped
1123046,N/A,Unmapped
1123050,N/A,Unmapped
1123051,N/A,Unmapped
1123052,N/A,Unmapped
1123054,N/A,Unmapped
1123055,N/A,Unmapped
1123058,N/A,Unmapped
1123059,N/A,Unmapped
1123064,N/A,Unmapped
1123078,N/A,Unmapped
1123079,N/A,Unmapped
1123081,N/A,Unmapped
1123082,N/A,Unmapped
1123083,N/A,Unmapped
1123089,N/A,Unmapped
1123090,N/A,Unmapped
1123098,N/A,Unmapped
1123100,N/A,Unmapped
1123102,N/A,Unmapped
1123103,N/A,Unmapped
1123104,N/A,Unmapped
1123110,N/A,Unmapped
1123116,N/A,Unmapped
1123117,N/A,Unmapped
1123128,N/A,Unmapped
1123129,N/A,Unmapped
1123130,N/A,Unmapped
1123138,N/A,Unmapped
1123139,N/A,Unmapped
1123140,N/A,Unmapped
1123141,N/A,Unmapped
1123142,N/A,Unmapped
1123143,N/A,Unmapped
1123144,N/A,Unmapped
1123145,N/A,Unmapped
1123146,N/A,Unmapped
1123147,N/A,Unmapped
1123150,N/A,Unmapped
1123151,N/A,Unmapped
1123154,N/A,Unmapped
1123155,N/A,Unmapped
1123159,N/A,Unmapped
1123160,N/A,Unmapped
1123161,N/A,Unmapped
1123167,N/A,Unmapped
1123168,N/A,Unmapped
1123169,N/A,Unmapped
1123172,N/A,Unmapped
1123173,N/A,Unmapped
1123175,N/A,Unmapped
1123177,N/A,Unmapped
1123180,N/A,Unmapped
1123184,N/A,Unmapped
1123188,N/A,Unmapped
1123191,N/A,Unmapped
1123193,N/A,Unmapped
1123194,N/A,Unmapped
1123195,N/A,Unmapped
1123196,N/A,Unmapped
