Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
1845062,96768,Limpiapiés para Sanitizar,J502,UN,4.0,4.0,5419.0,21674.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1871496,100708,Hyaluron Filler Eucerin Pore Minimizer Skin Refiner 30 ml,J781,UN,1.0,1.0,21673.0,21673.0,NO PUBLICAR,JERARQUIA CON STOCK REGULAR
1899597,106578,Pack 5 un. Yogurt con Cereal Soprole 1+1 Zucaritas + Mini Cookies 140 g,J503,UN,9.0,9.0,2408.0,21672.0,NO PUBLICAR,JERARQUIA CON STOCK REGULAR
1120420,N/A,Unknown Product,J503,UN,2.0,2.0,10835.0,21670.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2043175,N/A,Unknown Product,J507,UN,24.0,24.0,903.0,21669.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2043549,N/A,Unknown Product,J508,UN,9.0,9.0,2407.0,21667.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1821307,93350,Marco Mix Croma 20 x 25 cm,J660,UN,13.0,13.0,1666.0,21664.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046194,N/A,Unknown Product,J780,UN,24.0,24.0,903.0,21663.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046194,N/A,Unknown Product,J781,UN,24.0,24.0,903.0,21663.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046194,N/A,Unknown Product,J508,UN,24.0,24.0,903.0,21663.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046194,N/A,Unknown Product,J591,UN,24.0,24.0,903.0,21663.0,NO PUBLICAR,JERARQUIA DESHABILITADA
324251,N/A,Unknown Product,J780,UN,10.0,10.0,2166.0,21662.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1806304,125296,Set 20 Velas T-Light Blanco,J514,UN,24.0,24.0,903.0,21660.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046142,N/A,Unknown Product,J504,UN,14.0,14.0,1547.0,21658.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042173,N/A,Unknown Product,J504,UN,15.0,15.0,1444.0,21657.0,NO PUBLICAR,JERARQUIA DESHABILITADA
